Solución Final Output_Unipista/resultados_airland12_SEED131072.txt:
Seed utilizada: 131972
Cantidad de Restarts: 20
Costo Total (Penalidad): 28037.29

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  1 | T. Objetivo:  925.00 | T. Real:  925.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 215 | Avión: 214 | T. Objetivo: 25600.00 | T. Real: 25625.00 | Desvío:  25.00s | Penalidad: 32.00
Orden 216 | Avión: 216 | T. Objetivo: 25846.00 | T. Real: 25846.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 217 | Avión: 215 | T. Objetivo: 26009.00 | T. Real: 26009.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 218 | Avión: 217 | T. Objetivo: 26205.00 | T. Real: 26205.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 219 | Avión: 218 | T. Objetivo: 26249.00 | T. Real: 26273.00 | Desvío:  24.00s | Penalidad: 24.72
Orden 220 | Avión: 219 | T. Objetivo: 26307.00 | T. Real: 26386.00 | Desvío:  79.00s | Penalidad: 94.01
Orden 221 | Avión: 220 | T. Objetivo: 26637.00 | T. Real: 26637.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 222 | Avión: 224 | T. Objetivo: 26776.00 | T. Real: 26776.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 223 | Avión: 221 | T. Objetivo: 26869.00 | T. Real: 26889.00 | Desvío:  20.00s | Penalidad: 37.40
Orden 224 | Avión: 225 | T. Objetivo: 26971.00 | T. Real: 26971.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 225 | Avión: 223 | T. Objetivo: 27082.00 | T. Real: 27106.00 | Desvío:  24.00s | Penalidad: 27.36
Orden 226 | Avión: 222 | T. Objetivo: 27241.00 | T. Real: 27241.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 227 | Avión: 227 | T. Objetivo: 27273.00 | T. Real: 27309.00 | Desvío:  36.00s | Penalidad: 69.48
Orden 228 | Avión: 228 | T. Objetivo: 27236.00 | T. Real: 27377.00 | Desvío: 141.00s | Penalidad: 263.67
Orden 229 | Avión: 232 | T. Objetivo: 27371.00 | T. Real: 27445.00 | Desvío:  74.00s | Penalidad: 119.88
Orden 230 | Avión: 235 | T. Objetivo: 27456.00 | T. Real: 27535.00 | Desvío:  79.00s | Penalidad: 127.19
Orden 231 | Avión: 237 | T. Objetivo: 27583.00 | T. Real: 27648.00 | Desvío:  65.00s | Penalidad: 105.30
Orden 232 | Avión: 229 | T. Objetivo: 27364.00 | T. Real: 27716.00 | Desvío: 352.00s | Penalidad: 408.32
Orden 233 | Avión: 236 | T. Objetivo: 27723.00 | T. Real: 27784.00 | Desvío:  61.00s | Penalidad: 107.97
Orden 234 | Avión: 233 | T. Objetivo: 27804.00 | T. Real: 27852.00 | Desvío:  48.00s | Penalidad: 73.92
Orden 235 | Avión: 226 | T. Objetivo: 27524.00 | T. Real: 27920.00 | Desvío: 396.00s | Penalidad: 403.92
Orden 236 | Avión: 234 | T. Objetivo: 27699.00 | T. Real: 27988.00 | Desvío: 289.00s | Penalidad: 557.77
Orden 237 | Avión: 230 | T. Objetivo: 27761.00 | T. Real: 28078.00 | Desvío: 317.00s | Penalidad: 554.75
Orden 238 | Avión: 231 | T. Objetivo: 27655.00 | T. Real: 28168.00 | Desvío: 513.00s | Penalidad: 636.12
Orden 239 | Avión: 240 | T. Objetivo: 28221.00 | T. Real: 28258.00 | Desvío:  37.00s | Penalidad: 66.23
Orden 240 | Avión: 239 | T. Objetivo: 28196.00 | T. Real: 28348.00 | Desvío: 152.00s | Penalidad: 247.76
Orden 241 | Avión: 238 | T. Objetivo: 27796.00 | T. Real: 28438.00 | Desvío: 642.00s | Penalidad: 699.78
Orden 242 | Avión: 246 | T. Objetivo: 28687.00 | T. Real: 28687.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 243 | Avión: 242 | T. Objetivo: 28759.00 | T. Real: 28759.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 244 | Avión: 243 | T. Objetivo: 28686.00 | T. Real: 28827.00 | Desvío: 141.00s | Penalidad: 198.81
Orden 245 | Avión: 244 | T. Objetivo: 28835.00 | T. Real: 28940.00 | Desvío: 105.00s | Penalidad: 206.85
Orden 246 | Avión: 241 | T. Objetivo: 28794.00 | T. Real: 29008.00 | Desvío: 214.00s | Penalidad: 295.32
Orden 247 | Avión: 248 | T. Objetivo: 28870.00 | T. Real: 29076.00 | Desvío: 206.00s | Penalidad: 234.84
Orden 248 | Avión: 247 | T. Objetivo: 29148.00 | T. Real: 29148.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 249 | Avión: 245 | T. Objetivo: 28961.00 | T. Real: 29216.00 | Desvío: 255.00s | Penalidad: 311.10
Orden 250 | Avión: 249 | T. Objetivo: 29338.00 | T. Real: 29351.00 | Desvío:  13.00s | Penalidad: 19.50

Tiempo Total de Ejecución: 175114.56 ms
